"ID_RSU";"LCZ_PRIMARY";"LCZ_UNIQUENESS_VALUE";"ID_RSU.1";"LCZ_PRIMARY.1";"LCZ_UNIQUENESS_VALUE.1";"area";"agree";"location"
316;"Dense trees";NA;154;"Sparsely Built";1;31.4739174817223;FALSE;"Redon"
328;"Dense trees";NA;154;"Sparsely Built";1;196.076566432719;FALSE;"Redon"
335;"Bare rock paved";NA;154;"Sparsely Built";1;26.5512504153885;FALSE;"Redon"
337;"Low plants";NA;154;"Sparsely Built";1;2139.82736364834;FALSE;"Redon"
441;"Sparsely Built";1;178;"Sparsely Built";0.802157881266304;3.78038105880842;TRUE;"Redon"
477;"Sparsely Built";0.920165357842559;178;"Sparsely Built";0.802157881266304;58.1167389637558;TRUE;"Redon"
407;"Bare rock paved";NA;178;"Sparsely Built";0.802157881266304;108.462983869482;FALSE;"Redon"
431;"Bare rock paved";NA;178;"Sparsely Built";0.802157881266304;52.162584819016;FALSE;"Redon"
443;"Bare rock paved";NA;178;"Sparsely Built";0.802157881266304;39.2833941216813;FALSE;"Redon"
416;"Low plants";NA;178;"Sparsely Built";0.802157881266304;8.50119727046695;FALSE;"Redon"
331;"Scattered trees";NA;178;"Sparsely Built";0.802157881266304;14.9955304337927;FALSE;"Redon"
399;"Scattered trees";NA;178;"Sparsely Built";0.802157881266304;48028.5945796324;FALSE;"Redon"
450;"Bare rock paved";NA;189;"Sparsely Built";1;635.879327234405;FALSE;"Redon"
455;"Bare rock paved";NA;189;"Sparsely Built";1;2.68841598602012;FALSE;"Redon"
476;"Bare rock paved";NA;189;"Sparsely Built";1;35.0948290623928;FALSE;"Redon"
473;"Dense trees";NA;189;"Sparsely Built";1;1036.95745619806;FALSE;"Redon"
416;"Low plants";NA;189;"Sparsely Built";1;51.9949675263051;FALSE;"Redon"
466;"Bare rock paved";NA;189;"Sparsely Built";1;5047.51763512825;FALSE;"Redon"
394;"Sparsely Built";1;193;"Sparsely Built";0.898824426123212;21.052491897135;TRUE;"Redon"
397;"Sparsely Built";1;193;"Sparsely Built";0.898824426123212;9237.6678216611;TRUE;"Redon"
454;"Sparsely Built";0.4337390374285;193;"Sparsely Built";0.898824426123212;144.02581978729;TRUE;"Redon"
409;"Dense trees";NA;193;"Sparsely Built";0.898824426123212;1102.44737067865;FALSE;"Redon"
421;"Dense trees";NA;193;"Sparsely Built";0.898824426123212;3.56495012459345;FALSE;"Redon"
286;"Scattered trees";NA;193;"Sparsely Built";0.898824426123212;7.31316147046164;FALSE;"Redon"
394;"Sparsely Built";1;194;"Sparsely Built";0.249905164576513;12695.2520639147;TRUE;"Redon"
396;"Sparsely Built";1;194;"Sparsely Built";0.249905164576513;16.5690156996716;TRUE;"Redon"
397;"Sparsely Built";1;194;"Sparsely Built";0.249905164576513;21.9774997385102;TRUE;"Redon"
440;"Sparsely Built";0.666007687843215;194;"Sparsely Built";0.249905164576513;34199.6652018889;TRUE;"Redon"
454;"Sparsely Built";0.4337390374285;194;"Sparsely Built";0.249905164576513;190.913069659029;TRUE;"Redon"
543;"Sparsely Built";0.564072656142617;194;"Sparsely Built";0.249905164576513;12.3912720859516;TRUE;"Redon"
489;"Bare rock paved";NA;194;"Sparsely Built";0.249905164576513;61.137413957731;FALSE;"Redon"
286;"Scattered trees";NA;194;"Sparsely Built";0.249905164576513;0.186641134147067;FALSE;"Redon"
337;"Low plants";NA;194;"Sparsely Built";0.249905164576513;1.4091262971051;FALSE;"Redon"
397;"Sparsely Built";1;196;"Sparsely Built";1;33.5844754150603;TRUE;"Redon"
440;"Sparsely Built";0.666007687843215;196;"Sparsely Built";1;10.2608583547844;TRUE;"Redon"
454;"Sparsely Built";0.4337390374285;196;"Sparsely Built";1;15560.2099605312;TRUE;"Redon"
543;"Sparsely Built";0.564072656142617;196;"Sparsely Built";1;11.5076138416771;TRUE;"Redon"
403;"Bare rock paved";NA;196;"Sparsely Built";1;290.66101549007;FALSE;"Redon"
409;"Dense trees";NA;196;"Sparsely Built";1;53.7488283291459;FALSE;"Redon"
411;"Bare rock paved";NA;196;"Sparsely Built";1;151.410297553521;FALSE;"Redon"
412;"Water";NA;196;"Sparsely Built";1;119.839248343815;FALSE;"Redon"
421;"Dense trees";NA;196;"Sparsely Built";1;4255.53240087535;FALSE;"Redon"
439;"Dense trees";NA;196;"Sparsely Built";1;292.609773001284;FALSE;"Redon"
442;"Dense trees";NA;196;"Sparsely Built";1;32.6969951626379;FALSE;"Redon"
470;"Low plants";NA;196;"Sparsely Built";1;165.800500007812;FALSE;"Redon"
472;"Bare rock paved";NA;196;"Sparsely Built";1;35.4852999925242;FALSE;"Redon"
482;"Dense trees";NA;196;"Sparsely Built";1;4.71920000051614;FALSE;"Redon"
486;"Bare rock paved";NA;196;"Sparsely Built";1;34.078649997944;FALSE;"Redon"
492;"Dense trees";NA;196;"Sparsely Built";1;1055.81962099485;FALSE;"Redon"
496;"Dense trees";NA;196;"Sparsely Built";1;149.513322414656;FALSE;"Redon"
539;"Low plants";NA;196;"Sparsely Built";1;43.8232500061858;FALSE;"Redon"
547;"Water";NA;196;"Sparsely Built";1;29.2853224247228;FALSE;"Redon"
553;"Low plants";NA;196;"Sparsely Built";1;27.1995595011394;FALSE;"Redon"
559;"Dense trees";NA;196;"Sparsely Built";1;52.0420567972924;FALSE;"Redon"
564;"Bare rock paved";NA;196;"Sparsely Built";1;281.978335993969;FALSE;"Redon"
575;"Bare rock paved";NA;196;"Sparsely Built";1;55.3076640088111;FALSE;"Redon"
580;"Dense trees";NA;196;"Sparsely Built";1;8.94025231862906;FALSE;"Redon"
582;"Scattered trees";NA;196;"Sparsely Built";1;1.4142759012102;FALSE;"Redon"
583;"Water";NA;196;"Sparsely Built";1;0.223201858025277;FALSE;"Redon"
491;"Dense trees";NA;196;"Sparsely Built";1;5141.70710001281;FALSE;"Redon"
394;"Sparsely Built";1;198;"Sparsely Built";0.605966222004417;8.64933717031954;TRUE;"Redon"
396;"Sparsely Built";1;198;"Sparsely Built";0.605966222004417;13527.4922334687;TRUE;"Redon"
440;"Sparsely Built";0.666007687843215;198;"Sparsely Built";0.605966222004417;35.5987429162888;TRUE;"Redon"
465;"Sparsely Built";1;198;"Sparsely Built";0.605966222004417;13296.3460302027;TRUE;"Redon"
518;"Sparsely Built";0.80577474521471;198;"Sparsely Built";0.605966222004417;101.954524129163;TRUE;"Redon"
400;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;1958.95578617835;FALSE;"Redon"
402;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;67.5530623369414;FALSE;"Redon"
405;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;113.25446288439;FALSE;"Redon"
430;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;8.65744661462668;FALSE;"Redon"
489;"Bare rock paved";NA;198;"Sparsely Built";0.605966222004417;42.7928159751464;FALSE;"Redon"
425;"Scattered trees";NA;198;"Sparsely Built";0.605966222004417;132.278337494354;FALSE;"Redon"
441;"Sparsely Built";1;203;"Sparsely Built";1;12958.9482921773;TRUE;"Redon"
453;"Sparsely Built";1;203;"Sparsely Built";1;43389.3618476241;TRUE;"Redon"
477;"Sparsely Built";0.920165357842559;203;"Sparsely Built";1;3.1826222112868;TRUE;"Redon"
497;"Open low";0.196115506076856;203;"Sparsely Built";1;38.8466502401279;FALSE;"Redon"
500;"Open low";0.238084361499886;203;"Sparsely Built";1;58.7299547755247;FALSE;"Redon"
531;"Sparsely Built";0.567013665405127;203;"Sparsely Built";1;117.414378240093;TRUE;"Redon"
562;"Sparsely Built";0.291669813158481;203;"Sparsely Built";1;121.67366597915;TRUE;"Redon"
748;"Open low";0.213118522713949;203;"Sparsely Built";1;12.441280095758;FALSE;"Redon"
838;"Compact low";0.06793028881648;203;"Sparsely Built";1;16.4085316736455;FALSE;"Redon"
620;"Large low";NA;203;"Sparsely Built";1;228.265284632565;FALSE;"Redon"
431;"Bare rock paved";NA;203;"Sparsely Built";1;35.5044789492385;FALSE;"Redon"
436;"Bare rock paved";NA;203;"Sparsely Built";1;151.940475916769;FALSE;"Redon"
443;"Bare rock paved";NA;203;"Sparsely Built";1;56.676605879562;FALSE;"Redon"
537;"Low plants";NA;203;"Sparsely Built";1;6587.66305345629;FALSE;"Redon"
610;"Bare rock paved";NA;203;"Sparsely Built";1;608.280000010098;FALSE;"Redon"
769;"Bare rock paved";NA;203;"Sparsely Built";1;890.330000011483;FALSE;"Redon"
864;"Bare rock paved";NA;203;"Sparsely Built";1;14.6646786880447;FALSE;"Redon"
317;"Scattered trees";NA;203;"Sparsely Built";1;1.25953713199124;FALSE;"Redon"
444;"Low plants";NA;203;"Sparsely Built";1;417.483659161458;FALSE;"Redon"
399;"Scattered trees";NA;203;"Sparsely Built";1;9.7862353232922;FALSE;"Redon"
424;"Sparsely Built";1;206;"Open low";0.018994385710894;5962.71666304639;FALSE;"Redon"
483;"Sparsely Built";1;206;"Open low";0.018994385710894;10.2008410893977;FALSE;"Redon"
418;"Dense trees";NA;206;"Open low";0.018994385710894;2.75543035357259;FALSE;"Redon"
444;"Low plants";NA;206;"Open low";0.018994385710894;4.81824455044989;FALSE;"Redon"
424;"Sparsely Built";1;207;"Sparsely Built";1;70.4212114270194;TRUE;"Redon"
